Unnamed: 0,Entity,Year,Records,Organization type,Method,Unified_Attack_Category,Unified_Industry,Pandemic_Era,Is_Leap_Year,Country,Continent,Nation_Wealth,West_or_East
203,Network Solutions,2009,573000,tech,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
204,New York City Health & Hospitals Corp.,2010,1700000,healthcare,lost / stolen media,Physical Loss,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
205,New York State Electric & Gas,2012,1800000,energy,inside job,Insider Threat,Energy,Pre-Pandemic,True,USA,North America,High Income,Western
206,New York Taxis,2014,52000,transport,poor security,Misconfiguration/Vulnerability,Transport,Pre-Pandemic,False,USA,North America,High Income,Western
207,Nexon Korea Corp,2011,13200000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,South Korea,Asia,High Income,Eastern
208,NHS,2011,8300000,healthcare,lost / stolen media,Physical Loss,Healthcare,Pre-Pandemic,False,UK,Europe,High Income,Western
209,Nintendo (Club Nintendo),2013,240000,gaming,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,Japan,Asia,High Income,Eastern
210,Nintendo (Nintendo Account),2020,160000,gaming,hacked,Hacking/Intrusion,Technology,Post-Pandemic,True,Japan,Asia,High Income,Eastern
211,Nippon Television,2016,430000,media,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,True,Japan,Asia,High Income,Eastern
212,Nival Networks,2016,1500000,gaming,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,True,Cyprus,Europe,High Income,Western
213,Norwegian Tax Administration,2008,3950000,government,accidentally published,Accidental/Error,Government,Pre-Pandemic,True,Norway,Europe,High Income,Western
214,Now:Pensions,2020,30000,financial,rogue contractor,Hacking/Intrusion,Finance,Post-Pandemic,True,UK,Europe,High Income,Western
215,Ofcom,2016,0,telecom,inside job,Insider Threat,Telecommunications,Pre-Pandemic,True,UK,Europe,High Income,Western
216,US Office of Personnel Management,2015,21500000,government,hacked,Hacking/Intrusion,Government,Pre-Pandemic,False,USA,North America,High Income,Western
217,Office of the Texas Attorney General,2012,6500000,government,accidentally published,Accidental/Error,Government,Pre-Pandemic,True,USA,North America,High Income,Western
218,Ohio State University,2010,760000,academic,hacked,Hacking/Intrusion,Education,Pre-Pandemic,False,USA,North America,High Income,Western
219,Orbitz,2018,880000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
220,Oregon Department of Transportation,2011,0,government,poor security,Misconfiguration/Vulnerability,Government,Pre-Pandemic,False,USA,North America,High Income,Western
221,OVH,2013,0,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,France,Europe,High Income,Western
222,Patreon,2015,2300000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
223,PayPay,2020,20076016,QR code payment,"improper setting, hacked",Hacking/Intrusion,Other,Post-Pandemic,True,Japan,Asia,High Income,Eastern
224,Popsugar,2018,123857,fashion,hacked,Hacking/Intrusion,Other,Pre-Pandemic,False,USA,North America,High Income,Western
225,Premera,2015,11000000,healthcare,hacked,Hacking/Intrusion,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
226,Puerto Rico Department of Health,2010,515000,healthcare,hacked,Hacking/Intrusion,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
227,Quest Diagnostics,2019,11900000,Clinical Laboratory,poor security,Misconfiguration/Vulnerability,Other,Pre-Pandemic,False,USA,North America,High Income,Western
228,Quora,2018,100000000,Question & Answer,hacked,Hacking/Intrusion,Other,Pre-Pandemic,False,USA,North America,High Income,Western
229,Rakuten,2020,1381735,web,"improper setting, hacked",Hacking/Intrusion,Technology,Post-Pandemic,True,Japan,Asia,High Income,Eastern
230,Rambler.ru,2012,98167935,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,True,Russia,Europe,Upper-Middle Income,Eastern
231,RBS Worldpay,2008,1500000,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,True,UK,Europe,High Income,Western
232,Reddit,2018,0,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
233,Restaurant Depot,2011,200000,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,False,USA,North America,High Income,Western
234,RockYou!,2009,32000000,"web, gaming",hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
235,Rosen Hotels,2016,0,hotel,hacked,Hacking/Intrusion,Other,Pre-Pandemic,True,USA,North America,High Income,Western
236,"Sakai City, Japan",2015,680000,government,inside job,Insider Threat,Government,Pre-Pandemic,False,Japan,Asia,High Income,Eastern
237,San Francisco Public Utilities Commission,2011,180000,government,hacked,Hacking/Intrusion,Government,Pre-Pandemic,False,USA,North America,High Income,Western
238,Scottrade,2015,4600000,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
239,Scribd,2013,500000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
240,"Seacoast Radiology, PA",2010,231400,healthcare,hacked,Hacking/Intrusion,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
241,Sega,2011,1290755,gaming,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,Japan,Asia,High Income,Eastern
242,Service Personnel and Veterans Agency (UK),2008,50500,government,lost / stolen media,Physical Loss,Government,Pre-Pandemic,True,UK,Europe,High Income,Western
243,ShopBack,2020,0,tech,hacked,Hacking/Intrusion,Technology,Post-Pandemic,True,Singapore,Asia,High Income,Eastern
244,SingHealth,2018,1500000,"government, database",hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,Singapore,Asia,High Income,Eastern
245,Slack,2015,500000,tech,poor security,Misconfiguration/Vulnerability,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
246,SlickWraps,2020,377428,phone accessories,poor security,Misconfiguration/Vulnerability,Other,Post-Pandemic,True,USA,North America,High Income,Western
247,SnapChat,2013,4700000,"web, tech",hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
248,SolarWinds,2020,0,Network Monitoring,hacked,Hacking/Intrusion,Technology,Post-Pandemic,True,USA,North America,High Income,Western
249,Sony Online Entertainment,2011,24600000,gaming,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
250,Sony Pictures,2011,1000000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
251,Sony Pictures,2014,100,media,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
252,Sony PlayStation Network,2011,77000000,gaming,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,Japan,Asia,High Income,Eastern
253,South Africa police,2013,16000,government,hacked,Hacking/Intrusion,Government,Pre-Pandemic,False,South Africa,Africa,Upper-Middle Income,Other/Unknown
254,South Carolina Government,2012,6400000,healthcare,inside job,Insider Threat,Healthcare,Pre-Pandemic,True,USA,North America,High Income,Western
255,"South Shore Hospital, Massachusetts",2010,800000,healthcare,lost / stolen media,Physical Loss,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
256,Southern California Medical-Legal Consultants,2011,300000,healthcare,hacked,Hacking/Intrusion,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
257,Spartanburg Regional Healthcare System,2011,400000,healthcare,lost / stolen computer,Physical Loss,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
258,Stanford University,2008,72000,academic,lost / stolen computer,Physical Loss,Education,Pre-Pandemic,True,USA,North America,High Income,Western
259,Starbucks,2008,97000,retail,lost / stolen computer,Physical Loss,Retail,Pre-Pandemic,True,USA,North America,High Income,Western
260,Starwoodincluding Westin Hotels & Resorts and Sheraton Hotels and Resorts,2015,54,hotel,hacked,Hacking/Intrusion,Other,Pre-Pandemic,False,USA,North America,High Income,Western
261,State of Texas,2011,3500000,government,accidentally published,Accidental/Error,Government,Pre-Pandemic,False,USA,North America,High Income,Western
262,Steam,2011,35000000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
263,StockX,2019,6800000,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,False,USA,North America,High Income,Western
264,Stratfor,2011,935000,military,accidentally published,Accidental/Error,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
265,Supervalu,2014,200,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,False,USA,North America,High Income,Western
266,Sutter Medical Center,2011,4243434,healthcare,lost / stolen computer,Physical Loss,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
267,Syrian government (Syria Files),2012,2434899,government,hacked,Hacking/Intrusion,Government,Pre-Pandemic,True,Syria,Asia,Low Income,Eastern
268,Taobao,2016,20000000,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,True,China,Asia,Upper-Middle Income,Eastern
269,Taringa!,2017,28722877,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,Argentina,South America,Upper-Middle Income,Other/Unknown
270,Target Corporation,2013,110000000,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,False,USA,North America,High Income,Western
271,TaxSlayer.com,2016,8800,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,True,USA,North America,High Income,Western
272,TD Ameritrade,2007,6300000,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
273,TD Bank,2012,260000,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,True,USA,North America,High Income,Western
274,TerraCom & YourTel,2013,170000,telecoms,accidentally published,Accidental/Error,Telecommunications,Pre-Pandemic,False,USA,North America,High Income,Western
275,Tetrad,2020,120000000,market analysis,poor security,Misconfiguration/Vulnerability,Other,Post-Pandemic,True,Russia,Europe,Upper-Middle Income,Eastern
276,Texas Lottery,2007,89000,government,inside job,Insider Threat,Government,Pre-Pandemic,False,USA,North America,High Income,Western
277,Ticketfly (subsidiary of Eventbrite),2018,26151608,ticket distribution,hacked,Hacking/Intrusion,Other,Pre-Pandemic,False,USA,North America,High Income,Western
278,Tianya Club,2011,28000000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,China,Asia,Upper-Middle Income,Eastern
279,TikTok,2020,42000000,social media,poor security,Misconfiguration/Vulnerability,Technology,Post-Pandemic,True,China,Asia,Upper-Middle Income,Eastern
280,TK / TJ Maxx,2007,94000000,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,False,USA,North America,High Income,Western
281,"T-Mobile, Deutsche Telekom",2006,17000000,telecoms,lost / stolen media,Physical Loss,Telecommunications,Pre-Pandemic,False,Germany,Europe,High Income,Western
282,T-Mobile,2021,45000000,telecom,hacked,Hacking/Intrusion,Telecommunications,Post-Pandemic,False,USA,North America,High Income,Western
283,Tricare,2011,4901432,"military, healthcare",lost / stolen computer,Physical Loss,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
284,"Triple-S Salud, Inc.",2010,398000,healthcare,lost / stolen media,Physical Loss,Healthcare,Pre-Pandemic,False,Puerto Rico,North America,High Income,Western
285,Truecaller,2019,299055000,Telephone directory,unknown,Other/Unknown,Other,Pre-Pandemic,False,Sweden,Europe,High Income,Western
286,Trump Hotels,2014,8,hotel,hacked,Hacking/Intrusion,Other,Pre-Pandemic,False,USA,North America,High Income,Western
287,Tumblr,2013,65469298,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
288,Twitch,2015,0,tech,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
289,Twitch,2021,0,tech,hacked/misconfiguration,Hacking/Intrusion,Technology,Post-Pandemic,False,USA,North America,High Income,Western
290,Twitter,2013,250000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
291,Typeform,2018,0,tech,poor security,Misconfiguration/Vulnerability,Technology,Pre-Pandemic,False,Spain,Europe,High Income,Western
292,Uber,2014,50000,tech,poor security,Misconfiguration/Vulnerability,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
293,Uber,2017,57000000,transport,hacked,Hacking/Intrusion,Transport,Pre-Pandemic,False,USA,North America,High Income,Western
294,Ubisoft,2013,0,gaming,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,France,Europe,High Income,Western
295,Ubuntu,2013,2000000,tech,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,UK,Europe,High Income,Western
296,"UCLA Medical Center, Santa Monica",2015,4500000,healthcare,hacked,Hacking/Intrusion,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
297,UK Home Office,2008,84000,government,lost / stolen media,Physical Loss,Government,Pre-Pandemic,True,UK,Europe,High Income,Western
298,UK Ministry of Defence,2008,1700000,government,lost / stolen media,Physical Loss,Government,Pre-Pandemic,True,UK,Europe,High Income,Western
299,UK Revenue & Customs,2007,25000000,government,lost / stolen media,Physical Loss,Government,Pre-Pandemic,False,UK,Europe,High Income,Western
300,Universiti Teknologi MARA,2019,1164540,academic,hacked,Hacking/Intrusion,Education,Pre-Pandemic,False,Malaysia,Asia,Upper-Middle Income,Eastern
301,Under Armour,2018,150000000,Consumer Goods,hacked,Hacking/Intrusion,Other,Pre-Pandemic,False,USA,North America,High Income,Western
302,"University of California, Berkeley",2009,160000,academic,hacked,Hacking/Intrusion,Education,Pre-Pandemic,False,USA,North America,High Income,Western
303,"University of California, Berkeley",2016,80000,academic,hacked,Hacking/Intrusion,Education,Pre-Pandemic,True,USA,North America,High Income,Western
304,"University of Maryland, College Park",2014,300000,academic,hacked,Hacking/Intrusion,Education,Pre-Pandemic,False,USA,North America,High Income,Western
305,University of Central Florida,2016,63000,academic,hacked,Hacking/Intrusion,Education,Pre-Pandemic,True,USA,North America,High Income,Western
306,University of Miami,2008,2100000,academic,lost / stolen computer,Physical Loss,Education,Pre-Pandemic,True,USA,North America,High Income,Western
307,University of Utah Hospital & Clinics,2008,2200000,academic,lost / stolen media,Physical Loss,Education,Pre-Pandemic,True,USA,North America,High Income,Western
308,University of Wisconsin–Milwaukee,2011,73000,academic,hacked,Hacking/Intrusion,Education,Pre-Pandemic,False,USA,North America,High Income,Western
309,United States Postal Service,2018,60000000,government,poor security,Misconfiguration/Vulnerability,Government,Pre-Pandemic,False,USA,North America,High Income,Western
310,UPS,2014,51,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,False,USA,North America,High Income,Western
311,U.S. Army,2011,50000,military,accidentally published,Accidental/Error,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
312,U.S. Army(classified Iraq War documents),2010,392000,government,inside job,Insider Threat,Government,Pre-Pandemic,False,USA,North America,High Income,Western
313,U.S. Department of Defense,2009,72000,military,lost / stolen media,Physical Loss,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
314,U.S. Department of Veteran Affairs,2006,26500000,"government, military",lost / stolen computer,Physical Loss,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
315,U.S. federal government (2020 United States federal government data breach),2020,0,"government, military",hacked,Hacking/Intrusion,Technology,Post-Pandemic,True,USA,North America,High Income,Western
316,U.S. law enforcement (70 different agencies),2011,123461,government,accidentally published,Accidental/Error,Government,Pre-Pandemic,False,USA,North America,High Income,Western
317,National Archives and Records Administration (U.S. military veterans records),2009,76000000,military,lost / stolen media,Physical Loss,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
318,U.S. government (United States diplomatic cables leak),2010,260000,military,inside job,Insider Threat,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
319,National Guard of the United States,2009,131000,military,lost / stolen computer,Physical Loss,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
320,Vastaamo,2020,130000,healthcare,hacked,Hacking/Intrusion,Healthcare,Post-Pandemic,True,Finland,Europe,High Income,Western
321,Verizon Communications,2016,1500000,telecoms,hacked,Hacking/Intrusion,Telecommunications,Pre-Pandemic,True,USA,North America,High Income,Western
322,View Media,2020,38000000,online marketing,publicly accessible Amazon Web Services (AWS) server,Misconfiguration/Vulnerability,Other,Post-Pandemic,True,USA,North America,High Income,Western
323,Virgin Media,2020,900000,mobile carrier,accidentally exposed,Accidental/Error,Other,Post-Pandemic,True,UK,Europe,High Income,Western
324,Virginia Department of Health,2009,8257378,"government, healthcare",hacked,Hacking/Intrusion,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
325,Virginia Prescription Monitoring Program,2009,531400,healthcare,hacked,Hacking/Intrusion,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
326,Vodafone,2013,2000000,telecoms,inside job,Insider Threat,Telecommunications,Pre-Pandemic,False,UK,Europe,High Income,Western
327,VTech,2015,5000000,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,False,Hong Kong,Asia,High Income,Eastern
328,Walmart,2015,1300000,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,False,USA,North America,High Income,Western
329,Washington Post,2011,1270000,media,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
330,Washington State court system,2013,160000,government,hacked,Hacking/Intrusion,Government,Pre-Pandemic,False,USA,North America,High Income,Western
331,Wattpad,2020,270000000,web,hacked,Hacking/Intrusion,Technology,Post-Pandemic,True,Canada,North America,High Income,Western
332,Wawa (company),2020,30000000,retail,hacked,Hacking/Intrusion,Retail,Post-Pandemic,True,USA,North America,High Income,Western
333,Weebly,2016,43430316,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,True,USA,North America,High Income,Western
334,Wendy's,2015,0,restaurant,hacked,Hacking/Intrusion,Other,Pre-Pandemic,False,USA,North America,High Income,Western
335,Westpac,2019,98000,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,False,Australia,Oceania,High Income,Western
336,Woodruff Arts Center,2019,0,arts group,poor security,Misconfiguration/Vulnerability,Other,Pre-Pandemic,False,USA,North America,High Income,Western
337,WordPress,2018,0,web service,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
338,Writerspace.com,2011,62000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
339,Xat.com,2015,6054459,web,social engineering,Social Engineering,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
340,Yahoo,2013,3000000000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
341,Yahoo,2014,500000000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
342,Yahoo Japan,2013,22000000,"tech, web",hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,Japan,Asia,High Income,Eastern
343,Yahoo! Voices,2012,450000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,True,USA,North America,High Income,Western
344,Yale University,2010,43000,academic,accidentally published,Accidental/Error,Education,Pre-Pandemic,False,USA,North America,High Income,Western
345,YouTube,2020,4000000,social media,poor security,Misconfiguration/Vulnerability,Technology,Post-Pandemic,True,USA,North America,High Income,Western
346,Zappos,2012,24000000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,True,USA,North America,High Income,Western
347,Zynga,2019,173000000,social network,hacked,Hacking/Intrusion,Other,Pre-Pandemic,False,USA,North America,High Income,Western
348,Unknown agency(believed to be tied to United States Census Bureau),2020,200000000,financial,accidentally published,Accidental/Error,Finance,Post-Pandemic,True,USA,North America,High Income,Western
349,National Health Information Center (NCZI) of Slovakia,2020,391250,healthcare,poor security,Misconfiguration/Vulnerability,Healthcare,Post-Pandemic,True,Slovakia,Europe,High Income,Western
350,50 companies and government institutions,2022,6400000,various,poor security,Misconfiguration/Vulnerability,Other,Post-Pandemic,False,USA,North America,High Income,Western
351,IKEA,2022,95000,retail,accidentally published,Accidental/Error,Retail,Post-Pandemic,False,Netherlands,Europe,High Income,Western
